Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200
O,8320,7760,8240,8440,9040,9160,8600,9120,9240,8960,8640,9040,9400,9280,8840,9240,8960,9360,8960,8480,9080,8200,39160,36640,,,,
P,7640,7400,8040,8160,7800,8280,8720,8480,8200,8600,8720,8680,8560,9320,8760,9280,8360,8480,8440,8080,8520,7320,36640,35680,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,,,,
17,1,H2060234,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,3/30/23 18:14,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,
17,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,
A,0.678230644,0.678230644,,,,,,,,,,,,,,,,,,,,,0.678230644,0.678230644,,,,
B,0.678230644,0.678230644,,,,,,,,,,,,,,,,,,,,,0.678230644,0.678230644,,,,
C,0.678230644,0.678230644,,,,,,,,,,,,,,,,,,,,,0.678230644,0.678230644,,,,
D,0.678230644,0.678230644,,,,,,,,,,,,,,,,,,,,,0.678230644,0.678230644,,,,
E,0.678230644,0.678230644,,,,,,,,,,,,,,,,,,,,,0.678230644,0.678230644,,,,
F,0.678230644,0.678230644,,,,,,,,,,,,,,,,,,,,,0.678230644,0.678230644,,,,
G,0.678230644,0.678230644,,,,,,,,,,,,,,,,,,,,,0.678230644,0.678230644,,,,
H,0.678230644,0.678230644,,,,,,,,,,,,,,,,,,,,,0.678230644,0.678230644,,,,
I,0.678230644,0.678230644,,,,,,,,,,,,,,,,,,,,,0.678230644,0.678230644,,,,
J,0.678230644,0.678230644,,,,,,,,,,,,,,,,,,,,,0.678230644,0.678230644,,,,
K,0.678230644,0.678230644,,,,,,,,,,,,,,,,,,,,,0.678230644,0.678230644,,,,
L,0.678230644,0.678230644,,,,,,,,,,,,,,,,,,,,,0.678230644,0.678230644,,,,
M,0.678230644,0.678230644,,,,,,,,,,,,,,,,,,,,,0.678230644,0.678230644,,,,
N,0.678230644,0.678230644,,,,,,,,,,,,,,,,,,,,,0.678230644,0.678230644,,,,
O,0.678230644,0.678230644,,,,,,,,,,,,,,,,,,,,,0.678230644,0.678230644,,,,
P,0.678230644,0.678230644,,,,,,,,,,,,,,,,,,,,,0.678230644,0.678230644,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,,,,
17,1,H2060234,14.01,17.52,17.62,40.4,40.6,17.82,17.82,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,3/30/23 18:14,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,
17,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,
A,6920,7600,7520,7040,8000,7760,8280,8160,8800,9240,8600,8840,8520,8000,8600,8280,8520,8400,8160,7400,7120,7520,29360,29800,,,,
B,7120,7320,8400,8080,7640,8280,8440,11040,9240,8360,8600,9040,8880,9160,8840,8480,8440,7760,7760,7880,7160,7960,28800,27880,,,,
C,7680,7880,8440,7920,8760,8360,9160,8520,8920,8840,8920,9600,2560,8840,9440,8800,8760,8600,8480,7840,8520,8560,28440,27360,,,,
D,7680,8400,7880,9040,8880,8720,9320,9040,8960,9480,9360,9440,8840,9120,8920,8320,8760,8760,8760,8200,7760,8680,28760,29080,,,,
E,8040,9320,9480,8280,10200,9560,10000,11040,10600,10960,10640,10960,11120,9920,10840,9320,9800,10000,8280,8840,8360,8880,32920,30720,,,,
F,8720,8760,9480,10320,8960,8840,9800,10200,10640,9840,10200,10360,10480,11160,10400,10680,11240,9960,10200,9480,9440,9960,31000,32080,,,,
G,8000,8520,8160,8920,9960,9960,9640,9480,9920,10560,10160,10640,9920,10160,10040,10360,10160,10680,9120,9040,8400,9040,32600,30400,,,,
H,8120,8200,8160,8640,8960,9440,9560,9520,9920,9600,10400,9480,9840,10240,9920,10040,10440,9520,9560,8640,8960,9240,34280,32280,,,,
I,7680,7840,7600,8640,9040,8720,8000,9480,8920,9920,8600,9520,9760,9480,9840,9360,9560,9240,9280,8560,8760,8840,32600,30960,,,,
J,7720,7920,7560,8720,8480,9000,8880,9240,9480,9520,8960,9880,9080,9920,8360,9800,9520,9000,9720,8640,8360,8600,31280,31400,,,,
K,7480,8000,8600,8320,9040,8720,9280,9880,9440,10280,9600,9640,9720,9320,10200,10120,9280,8360,8800,9000,8520,8760,33240,30440,,,,
L,7440,7760,7840,8240,8560,11000,8640,9040,9240,9320,9840,10000,9000,9040,9760,8560,9800,9400,9040,8840,8680,8720,31840,31320,,,,
M,7760,8160,7920,8720,9360,8880,8880,9000,8840,9600,8240,9480,9280,9240,9720,10200,9200,8840,9520,8920,8640,8560,36120,29520,,,,
N,7440,7520,7840,8560,7960,8960,8560,8840,9120,8760,8760,8640,10880,9320,8800,8680,9240,8560,8040,8200,8160,8800,32080,33840,,,,
O,7280,8120,7040,7400,8440,8320,8360,8600,8160,8600,8320,8960,9480,9040,8800,8800,9600,8440,7960,8000,7640,8680,32840,30160,,,,
P,7360,7920,7560,7920,8120,7960,8080,8240,8520,8480,7920,8400,8440,9080,8520,8280,8800,8840,8000,7960,7920,8120,29120,31240,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,,,,
18,1,H2060236,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,3/30/23 18:15,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,
18,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,
A,0.576086725,0.576086725,,,,,,,,,,,,,,,,,,,,,0.576086725,0.576086725,,,,
B,0.576086725,0.576086725,,,,,,,,,,,,,,,,,,,,,0.576086725,0.576086725,,,,
C,0.576086725,0.576086725,,,,,,,,,,,,,,,,,,,,,0.576086725,0.576086725,,,,
D,0.576086725,0.576086725,,,,,,,,,,,,,,,,,,,,,0.576086725,0.576086725,,,,
E,0.576086725,0.576086725,,,,,,,,,,,,,,,,,,,,,0.576086725,0.576086725,,,,
F,0.576086725,0.576086725,,,,,,,,,,,,,,,,,,,,,0.576086725,0.576086725,,,,
G,0.576086725,0.576086725,,,,,,,,,,,,,,,,,,,,,0.576086725,0.576086725,,,,
H,0.576086725,0.576086725,,,,,,,,,,,,,,,,,,,,,0.576086725,0.576086725,,,,
I,0.576086725,0.576086725,,,,,,,,,,,,,,,,,,,,,0.576086725,0.576086725,,,,
J,0.576086725,0.576086725,,,,,,,,,,,,,,,,,,,,,0.576086725,0.576086725,,,,
K,0.576086725,0.576086725,,,,,,,,,,,,,,,,,,,,,0.576086725,0.576086725,,,,
L,0.576086725,0.576086725,,,,,,,,,,,,,,,,,,,,,0.576086725,0.576086725,,,,
M,0.576086725,0.576086725,,,,,,,,,,,,,,,,,,,,,0.576086725,0.576086725,,,,
N,0.576086725,0.576086725,,,,,,,,,,,,,,,,,,,,,0.576086725,0.576086725,,,,
O,0.576086725,0.576086725,,,,,,,,,,,,,,,,,,,,,0.576086725,0.576086725,,,,
P,0.576086725,0.576086725,,,,,,,,,,,,,,,,,,,,,0.576086725,0.576086725,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,,,,
18,1,H2060236,14.01,17.61,17.52,40.7,40.9,17.9,17.82,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,3/30/23 18:15,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,
18,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,
A,6960,7760,7760,7840,7760,8480,8880,8600,8600,8800,8640,9040,8320,8760,8360,8520,9280,8480,8240,8200,7800,7800,28400,31960,,,,
B,7760,7360,7560,8320,8240,7480,8680,8800,8280,8840,8840,9240,8960,9040,9280,8360,8760,8840,8120,8680,8360,8080,29640,28960,,,,
C,7920,8080,8160,8880,8720,7640,9000,9280,9880,9400,9320,9560,8640,8800,9640,8720,9640,8880,8560,8440,8440,8720,28240,30760,,,,
D,7760,8720,8840,8960,8840,9000,9360,9000,9400,9640,9920,9280,9200,9080,9440,9720,9240,8600,8520,8320,8240,8920,30600,29040,,,,
E,7880,9520,9560,9160,9320,10040,10840,10200,10200,10960,11040,11160,10920,11280,10320,10000,10320,9920,10480,9680,9280,10240,27800,34440,,,,
F,8600,8880,9320,10160,10560,9960,11000,11120,10200,10360,11200,11080,11200,10360,11680,10520,11360,9720,10000,10080,8920,10200,35800,38160,,,,
G,8920,8640,8840,9240,9560,9760,10160,9320,10560,9960,9880,10960,10200,10640,10120,9960,9920,9640,9640,8800,9240,9840,34720,35440,,,,
H,8120,8760,8840,9080,8920,9280,10000,8920,9800,10400,9560,10960,10120,9880,10080,10040,10720,9560,9760,9240,9840,9600,33640,35120,,,,
I,7640,8560,8520,8240,9040,9480,9160,9600,9960,9720,9440,10120,10000,10280,10360,10320,10400,9040,9960,8920,8280,8920,33200,34160,,,,
J,8160,7960,8240,8960,8920,9120,9440,9960,10040,9320,7360,10240,9360,10160,10160,10160,10360,9240,8960,8960,8840,8800,34400,32560,,,,
K,7600,8400,8360,8840,10000,9200,9560,9960,9920,10160,9880,10560,10120,10080,10520,10160,10600,10120,9160,7960,9240,8680,37160,34480,,,,
L,7360,8560,8120,8720,8920,8480,9160,9520,9320,10040,9640,9560,10080,10360,11000,9400,9800,9440,9440,9040,9480,9280,35080,35200,,,,
M,7400,8640,8680,8280,9160,8440,9560,8960,10200,10040,9600,10200,10120,9600,9680,9680,9800,9480,8960,9320,9240,9200,35280,35840,,,,
N,7560,8600,8120,8120,8800,8680,9560,9280,9240,9880,9480,9760,9120,9960,9520,9800,9920,8880,8720,8640,8560,9160,34960,36440,,,,
O,7080,8400,8000,8480,8960,8720,9160,8600,9160,9520,9120,9240,9520,8800,9880,8200,8960,8760,8440,8840,8040,8560,37800,36960,,,,
P,6920,8040,7800,8040,8400,8080,8480,8640,8600,8320,8160,8840,7800,8760,8720,8640,8480,8000,8520,8400,7680,8680,33800,36440,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,,,,
19,1,H2060238,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,3/30/23 18:17,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,
19,Jez US LUM 384 (cps),0,12,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,
A,0.554363195,0.554363195,,,,,,,,,,,,,,,,,,,,,0.554363195,0.554363195,,,,
B,0.554363195,0.554363195,,,,,,,,,,,,,,,,,,,,,0.554363195,0.554363195,,,,
C,0.554363195,0.554363195,,,,,,,,,,,,,,,,,,,,,0.554363195,0.554363195,,,,
D,0.554363195,0.554363195,,,,,,,,,,,,,,,,,,,,,0.554363195,0.554363195,,,,
E,0.554363195,0.554363195,,,,,,,,,,,,,,,,,,,,,0.554363195,0.554363195,,,,
F,0.554363195,0.554363195,,,,,,,,,,,,,,,,,,,,,0.554363195,0.554363195,,,,
G,0.554363195,0.554363195,,,,,,,,,,,,,,,,,,,,,0.554363195,0.554363195,,,,
H,0.554363195,0.554363195,,,,,,,,,,,,,,,,,,,,,0.554363195,0.554363195,,,,
I,0.554363195,0.554363195,,,,,,,,,,,,,,,,,,,,,0.554363195,0.554363195,,,,
J,0.554363195,0.554363195,,,,,,,,,,,,,,,,,,,,,0.554363195,0.554363195,,,,
K,0.554363195,0.554363195,,,,,,,,,,,,,,,,,,,,,0.554363195,0.554363195,,,,
L,0.554363195,0.554363195,,,,,,,,,,,,,,,,,,,,,0.554363195,0.554363195,,,,
M,0.554363195,0.554363195,,,,,,,,,,,,,,,,,,,,,0.554363195,0.554363195,,,,
N,0.554363195,0.554363195,,,,,,,,,,,,,,,,,,,,,0.554363195,0.554363195,,,,
O,0.554363195,0.554363195,,,,,,,,,,,,,,,,,,,,,0.554363195,0.554363195,,,,
P,0.554363195,0.554363195,,,,,,,,,,,,,,,,,,,,,0.554363195,0.554363195,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,,,,
19,1,H2060238,14.01,17.52,17.52,40.9,40.7,17.82,17.82,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,3/30/23 18:17,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,
19,Jez US LUM 384 (cps),0,12,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,
A,7840,7440,7800,7760,8480,7760,8400,7960,9120,8520,8240,7920,8240,8760,8120,8280,8440,7960,8320,7240,8000,7120,25320,26280,,,,
B,7120,7600,7880,7680,8120,9000,8520,8360,7880,9080,8440,8600,9200,8760,8360,9800,7880,8200,8600,8400,7640,7280,26080,24160,,,,
C,7560,7640,7560,8080,8280,8720,7960,8480,8480,9000,8240,8760,8800,8440,8480,8440,8120,7760,8960,7600,7880,8120,24880,22280,,,,
D,7040,7440,8160,8200,8240,8720,9200,9080,8640,8920,9120,9200,8520,9160,8960,9160,8360,8520,8920,8640,8080,8760,27360,25440,,,,
E,8000,9320,8040,9280,9240,9160,10080,8960,10320,9840,9760,9840,9880,10080,10520,9240,9760,8920,9840,8320,7880,9480,31400,27720,,,,
F,8480,8920,8880,8480,9760,9120,10320,9760,10040,9400,9640,9840,9520,9720,9920,9080,9720,9240,9200,9160,8560,9920,28440,29520,,,,
G,7960,7880,8280,8680,9880,9320,9480,8840,9440,9360,10240,9680,9240,9760,9080,9440,9520,8880,9160,8840,8680,9520,28520,30440,,,,
H,8160,8600,8400,8440,9280,9040,8880,9800,9560,8960,9200,9560,9400,8960,9600,9560,8800,9080,9160,9440,8600,9400,31160,28520,,,,
I,7720,8480,8160,8480,8000,8680,8720,8400,9120,9840,9400,9000,7560,9320,8720,9320,9120,8440,8720,8200,8600,8760,27920,30320,,,,
J,7520,7440,7480,8000,9160,8400,8760,10280,9000,9120,9440,9040,9040,10880,9480,8000,9280,9200,8640,7920,8000,8800,31440,27960,,,,
K,7960,8280,8280,7920,8840,8680,9080,9520,9920,9360,9320,10000,9360,9880,9000,8760,9480,9360,9080,9000,8480,8840,32720,30280,,,,
L,8240,6920,8280,8240,8480,8360,8840,9440,9240,9040,7560,9280,9280,9160,9120,8920,9280,9040,8880,9240,8080,8160,30120,29040,,,,
M,7800,8160,8120,8160,8520,8320,9040,9240,8360,9160,9360,9200,9640,9640,9400,9240,9800,9040,9720,7960,8000,8840,29040,32040,,,,
N,6800,8200,7480,7840,8000,7880,8240,8680,8280,8080,8760,8880,8800,8680,9600,8440,8760,8720,7240,8360,7520,8840,28600,27960,,,,
O,6920,7680,9480,7680,8080,8520,8280,8480,8960,8480,8480,8000,9440,8960,9040,8840,8960,7640,8960,7840,8000,8680,28920,31480,,,,
P,7160,7640,7480,7360,7720,7760,8200,7520,8000,8280,8200,8800,8400,8640,8560,8600,8160,8320,7480,8320,7640,7880,31560,30880,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,,,,
20,1,H2060240,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,3/30/23 18:18,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,
20,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,
A,0.67824173,0.67824173,,,,,,,,,,,,,,,,,,,,,0.67824173,0.67824173,,,,
B,0.67824173,0.67824173,,,,,,,,,,,,,,,,,,,,,0.67824173,0.67824173,,,,
C,0.67824173,0.67824173,,,,,,,,,,,,,,,,,,,,,0.67824173,0.67824173,,,,
D,0.67824173,0.67824173,,,,,,,,,,,,,,,,,,,,,0.67824173,0.67824173,,,,
E,0.67824173,0.67824173,,,,,,,,,,,,,,,,,,,,,0.67824173,0.67824173,,,,
F,0.67824173,0.67824173,,,,,,,,,,,,,,,,,,,,,0.67824173,0.67824173,,,,
G,0.67824173,0.67824173,,,,,,,,,,,,,,,,,,,,,0.67824173,0.67824173,,,,
H,0.67824173,0.67824173,,,,,,,,,,,,,,,,,,,,,0.67824173,0.67824173,,,,
I,0.67824173,0.67824173,,,,,,,,,,,,,,,,,,,,,0.67824173,0.67824173,,,,
J,0.67824173,0.67824173,,,,,,,,,,,,,,,,,,,,,0.67824173,0.67824173,,,,
K,0.67824173,0.67824173,,,,,,,,,,,,,,,,,,,,,0.67824173,0.67824173,,,,
L,0.67824173,0.67824173,,,,,,,,,,,,,,,,,,,,,0.67824173,0.67824173,,,,
M,0.67824173,0.67824173,,,,,,,,,,,,,,,,,,,,,0.67824173,0.67824173,,,,
N,0.67824173,0.67824173,,,,,,,,,,,,,,,,,,,,,0.67824173,0.67824173,,,,
O,0.67824173,0.67824173,,,,,,,,,,,,,,,,,,,,,0.67824173,0.67824173,,,,
P,0.67824173,0.67824173,,,,,,,,,,,,,,,,,,,,,0.67824173,0.67824173,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,,,,
20,1,H2060240,14.01,17.43,17.43,40.7,40.9,17.82,17.92,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,3/30/23 18:18,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,
20,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,
A,6040,6120,6560,7080,6520,7240,7280,7120,7480,7400,7640,7240,7400,7240,7240,7280,7160,7040,7000,6640,6840,6960,28760,28840,,,,
B,6320,5800,7200,6880,7040,6920,7440,7680,6720,7360,7760,7840,7640,7120,7960,7960,7680,7240,6080,6800,6760,7240,27200,25480,,,,
C,6840,6680,7760,6920,7080,6720,7200,7480,7280,7240,7680,7520,7400,7560,7640,6400,7320,7000,6520,6880,7600,7360,24960,26880,,,,
D,6600,6560,7040,6440,7040,7400,7120,7760,7640,7680,8000,7560,6600,6760,8120,7600,7640,7840,7280,7400,7160,7000,25480,28480,,,,
E,7560,7000,7680,8000,7840,8760,8560,8400,8760,8240,9320,7880,8720,8360,8440,8280,7960,8040,8560,7760,8880,8320,26280,30160,,,,
F,7480,7800,7640,7880,10200,7880,7720,8520,7800,8640,8240,8440,8520,8360,8680,8000,8280,8640,7960,7880,6800,8280,29240,29640,,,,
G,6600,7000,7720,7120,8000,7800,7800,8360,7960,8400,8080,7600,8320,7920,7880,8480,7560,8560,7680,7800,7800,7800,26520,25440,,,,
H,6800,6920,6480,7760,7560,7840,8000,7920,8040,8560,7960,8240,8000,8040,7840,7800,7840,8400,7960,7600,7520,7640,29520,28760,,,,
I,6880,6840,7080,7360,7760,7560,7840,8200,7280,7560,7840,8200,7960,8000,7840,8040,7520,7840,7680,8320,7640,7640,29760,27720,,,,
J,6760,6960,6880,6840,7440,7080,7360,7920,7040,7840,7800,7520,7880,7920,7440,7960,8120,8000,7320,7920,7520,7800,27960,27160,,,,
K,7440,7320,7520,7160,7880,8040,8400,7520,7720,7800,7080,8040,8000,7320,8000,7960,7680,7880,7560,7920,7960,7520,30120,28640,,,,
L,6880,7560,7800,7560,7400,7200,6920,8000,7640,7280,7760,7480,7720,7960,7440,7040,8040,7560,7840,9240,7760,7680,29480,27240,,,,
M,6920,7000,7160,7440,7200,7840,7880,7600,8320,7840,7280,8080,7680,7840,7960,8440,7960,8160,7440,7440,8040,7840,31760,29400,,,,
N,6560,7200,5960,7240,7520,7760,7080,7840,7120,8240,7640,7280,7880,7440,7360,7480,7880,6920,7360,7880,7360,7640,29080,29720,,,,
O,7520,6760,7280,7440,7440,7080,7440,7280,7880,7440,7800,7320,8480,7720,7800,8040,7440,7320,7600,7200,7880,7440,30200,29200,,,,
P,6640,6720,7160,7240,7120,7760,7480,7400,7040,7120,7480,7280,7440,7080,7120,7280,7320,7880,7440,7120,7360,7000,32080,31600,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic assay information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay ID: ,,,,576,,,,,,,,,,,,,,,,,,,,,,,,
